transaction_count,incoming_transaction_count,outgoing_transaction_count,unique_incoming_counterparties,unique_outgoing_counterparties,activity_duration_seconds,total_incoming_value,total_outgoing_value,average_incoming_value,average_outgoing_value,maximum_incoming_value,maximum_outgoing_value,incoming_outgoing_value_ratio,outgoing_value_concentration,incoming_value_concentration,total_unique_counterparties,counterparty_reuse_count,fan_in,fan_out,graph_multi_hop_exposure_count,total_transaction_fees,average_transaction_fee,minimum_transaction_fee,maximum_transaction_fee,fee_to_value_ratio,average_transaction_gap_seconds,minimum_transaction_gap_seconds,maximum_transaction_gap_seconds,transaction_burst_count,rapid_transaction_sequence_count,target
5.0,3.0,2.0,3.0,1.0,0.0,5.39779878,5.39554933,1.799266,2.697775,0.0,3.997868,1.0004169084299708,0.0,0.0,4.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2.0,1.0,1.0,1.0,1.0,0.0,10.0,9.999528364,10.0,9.999528,0.0,9.999528,1.00004716582451,0.0,0.0,2.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2.0,1.0,1.0,1.0,1.0,0.0,0.22555922,0.22505522,0.225559,0.225055,0.0,0.225055,1.002239450389109,0.0,0.0,2.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
6.0,2.0,4.0,2.0,4.0,0.0,2001.0,2000.998113,1000.5,500.249528,0.0,1574.1575779999996,1.000000943029375,0.0,0.0,6.0,0.0,2.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
4.0,1.0,3.0,1.0,3.0,0.0,101.0,100.9985118,101.0,33.66617100000001,0.0,94.578007,1.0000147348705786,0.0,0.0,4.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
3.0,1.0,2.0,1.0,2.0,0.0,101.0,100.9990158,101.0,50.499508,0.0,88.203549,1.0000097446494127,0.0,0.0,3.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
74.0,23.0,51.0,8.0,25.0,0.0,29.38156653,35.67806737,1.277459,0.69957,0.0,6.53,0.8235190046954609,0.0,0.0,33.0,0.0,8.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
4.0,2.0,2.0,2.0,2.0,0.0,101.0,100.9990158,50.5,50.499508,0.0,100.589016,1.0000097446494127,0.0,0.0,4.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
17.0,9.0,8.0,6.0,1.0,0.0,48.82990775,48.81820087,5.425545,6.102275,0.0,42.471026,1.0002398056419812,0.0,0.0,7.0,0.0,6.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
5.0,2.0,3.0,2.0,3.0,0.0,2001.0,2000.998585,1000.5,666.999528,0.0,1475.452117,1.0000007071469268,0.0,0.0,5.0,0.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
276.0,275.0,0.0,7.0,0.0,0.0,359.061997,0.0,1.30568,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
18.0,3.0,15.0,2.0,11.0,0.0,0.613,1.803776506,0.204333,0.120252,0.0,0.3025,0.33984254588134655,0.0,0.0,13.0,0.0,2.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2.0,1.0,1.0,1.0,1.0,0.0,0.381175036,0.380555036,0.381175,0.380555,0.0,0.380555,1.0016291993045652,0.0,0.0,2.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
10.0,5.0,5.0,1.0,1.0,0.0,34.5,34.49644079,6.9,6.899288,0.0,19.999304,1.0001031761514663,0.0,0.0,2.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
5.0,1.0,4.0,1.0,4.0,0.0,101.0,100.9979,101.0,25.249475,0.0,47.33595,1.0000207925115274,0.0,0.0,5.0,0.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2.0,1.0,1.0,1.0,1.0,0.0,1.11675294,1.11455294,1.116753,1.114553,0.0,1.114553,1.001973885601163,0.0,0.0,2.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
73.0,72.0,0.0,5.0,0.0,0.0,60.43698417,0.0,0.839403,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
128.0,64.0,64.0,3.0,2.0,0.0,12.90717676,12.85341676,0.201675,0.200835,0.0,0.223114,1.0041825454666111,0.0,0.0,5.0,0.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
118.0,117.0,0.0,6.0,0.0,0.0,99.94944496,0.0,0.8542690000000001,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1624.0,1624.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
407.0,204.0,203.0,3.0,1.0,0.0,2196.294011,2195.600877,10.766147,10.815767999999998,0.0,29.004104,1.0003156921675798,0.0,0.0,4.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
236.0,107.0,129.0,50.0,57.0,0.0,4701.669218999999,4634.55541,43.940834,35.926786,0.0,1000.0,1.0144811752288445,0.0,0.0,107.0,0.0,50.0,57.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
